total deviance | predicted | actual
0.012991256745511597 | 0.5095537,0.6476374,0.5758988 | 0.50630019458025,0.6365298644544496,0.5817988008114156
0.009803776514422123 | 0.8395877,0.31044406,0.45411965 | 0.8412812776611615,0.303639094380126,0.4472685012616256
0.01742095260656491 | 0.558424,0.6186177,0.5637825 | 0.5584998135430839,0.6024312666088382,0.5702232258374008
0.022306208681077865 | 0.6602543,0.12764855,0.7464517 | 0.6565139200245862,0.10566228395668648,0.7468768001236936
0.014498422844107305 | 0.077863276,0.27729315,0.96230346 | 0.06817005377923904,0.2665486958230054,0.9614076328606874
0.013302284239760459 | 0.5977269,0.7591769,0.27175435 | 0.6046015882977216,0.7518409855609791,0.26304382117542296
0.015465625492576348 | 0.6580093,0.6527108,0.38622275 | 0.6584603790318508,0.6548679486184125,0.3709149486304693
0.014428015102035802 | 0.47703937,0.6962658,0.5443595 | 0.48227923098342546,0.6967949728031998,0.5309270281669823
0.018164865285616564 | 0.7852286,0.5949343,0.18658814 | 0.783825321103864,0.5869223230126926,0.2028301080850893
0.007983936399334193 | 0.14346355,0.8430285,0.5281784 | 0.1471713825515079,0.835974548736672,0.5286654310832092
0.01805502823903279 | 0.25508517,0.4411607,0.8659397 | 0.2506648308872146,0.424180088022842,0.8701944584293894
0.01747997111327906 | 0.4201146,0.90947574,0.058666438 | 0.4331732018437866,0.8997955912942353,0.05223859772102913
0.013972343002098415 | 0.6950746,0.35426146,0.634425 | 0.6950208866836587,0.3403313474320962,0.6333407779612131
0.022313685952218873 | 0.9897938,0.09390524,0.12370375 | 0.9843128585987023,0.11058683137323332,0.1374727213816588
0.011070069823167382 | 0.14763087,0.7167348,0.6857955 | 0.14227596068562934,0.7086231916269354,0.6910938599781051
0.01678550272161055 | 0.3865703,0.075558566,0.9236351 | 0.3864900567146827,0.05908819493829101,0.920398838156381
0.014906019023518275 | 0.23345956,0.60725874,0.7656184 | 0.2375663674679376,0.5933552792030249,0.7690849977018075
0.025057465016199463 | 0.9115166,0.41344216,0.036120325 | 0.9201241687177822,0.3899140984142982,0.036585652914433206
0.005561780905319705 | 0.66083467,0.58758,0.47752813 | 0.6560852470524967,0.5866154494262465,0.4747993924748716
0.008912636453188013 | 0.5625222,0.5114413,0.65820783 | 0.5558716419462504,0.5057104743104494,0.65974512794918
0.006281479194509012 | 0.3648581,0.608159,0.7125394 | 0.3660078501049905,0.6041876372676344,0.7078103931382163
0.023106494536274207 | 0.35832256,0.7387727,0.57927775 | 0.3411285371591909,0.7301288896034913,0.5920668253685587
0.012871190453369617 | 0.45796058,0.8792493,0.15794751 | 0.4534060720896386,0.8750882331434983,0.16924396002822656
0.01653103522407294 | 0.27710629,0.18505266,0.9479427 | 0.2623989013668689,0.17752476221500307,0.948489206771467
0.008086768656465215 | 0.16917521,0.025075847,0.98996824 | 0.17132788303442129,0.01904464644254894,0.9850299781919442
0.01606892639613367 | 0.5526682,0.63011235,0.5562647 | 0.5443235019029082,0.6197836368297295,0.5653142212913707
0.017146703993463012 | 0.7705431,0.6385852,0.06444004 | 0.7762482630619033,0.6282808537237184,0.0519788701067427
0.0066185308796287996 | 0.49834815,0.25420025,0.8344409 | 0.49801211163848935,0.24872770706797798,0.8307336904195465
0.009389026482606753 | 0.64110976,0.20751795,0.74525267 | 0.633920735065706,0.20164243124971754,0.7466490685546042
0.02615403534202234 | 0.87604755,0.38242462,0.29718778 | 0.8625242772601951,0.39605855403687334,0.3149436344983007
0.0037059796780335615 | 0.6996995,0.5316586,0.48249814 | 0.6966449445561576,0.5326160759097588,0.480630769829438
0.016962631137220366 | 0.86713916,0.07266629,0.49518135 | 0.8647233206997639,0.05633526246790284,0.49907906872623486
0.007281767398767102 | 0.45153633,0.41773003,0.7964571 | 0.44676323352697067,0.4180583138903252,0.7909676727627392
0.021750494134913454 | 0.81442666,0.58521754,0.036826223 | 0.8199741455156457,0.572035533772807,0.020438903765777772
0.012611268210151183 | 0.29809827,0.78595394,0.5500934 | 0.2972420170617238,0.7754664258803292,0.5570448865445815
0.01867772841199319 | 0.71257335,0.3888319,0.59174967 | 0.7150356126659407,0.370354617416446,0.5929262432864317
0.013692519913209598 | 0.5928872,0.12620217,0.79951173 | 0.585007585036121,0.137398304011093,0.799304592445884
0.011887338969946305 | 0.56084824,0.4322238,0.7157487 | 0.5646472007802205,0.42391143253091523,0.7081473264940344
0.013366354514489278 | 0.5273484,0.6750213,0.52276194 | 0.5145984680087949,0.6768943500485023,0.5263102275230996
0.012383678087935453 | 0.18706268,0.108348444,0.98154384 | 0.18288793107228565,0.09714350404229766,0.9783226176934084
0.017184047451147166 | 0.4202526,0.38118905,0.83216494 | 0.4204509565863649,0.391568514121437,0.818471191829218
0.016054864319467465 | 0.48983368,0.80774873,0.33805075 | 0.4811243205981848,0.8033971776367564,0.35081670868735554
0.005257298632340897 | 0.911889,0.31332925,0.26954225 | 0.9112968002096568,0.31536539919537354,0.26473157521909557
